Offset(P)            #Ptr   #Hnd Access Name
0x000000013cc9a590     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\26[1].svg
0x000000013cc9b300     33      1 RW-r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows Defender\Support\MPLog-07132009-221054.log
0x000000013cc9bd10     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\sysmain.dll.mui
0x000000013cc9c710     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\19[1].svg
0x000000013cc9ca10     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\3[1].svg
0x000000013cc9e6a0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\19[1].png
0x000000013cca9070      4      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\IEXPLORE.EXE-F6A52C86.pf
0x000000013cca9740     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\7[1].svg
0x000000013cca9b50      2      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\HWP.EXE-7DA6D40A.pf
0x000000013cca9dc0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\22[1].png
0x000000013ccc0dd0      2      1 R--rwd \Device\HarddiskVolume1\Users\KAB\Links
0x000000013ccc0f20     16      0 R--rwd \Device\HarddiskVolume1曀ɜ￿ጐヤ婢￿
0x000000013ccc2f20      1      1 R--rw- \Device\HarddiskVolume1\Windows
0x000000013ccc3430      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013ccc8070     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\11[1].png
